City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
108,queenstown,-31.8976,26.8753,18.0,68,100,2.84,ZA,1699064176
109,ilulissat,69.2167,-51.1,-2.9899999999999523,50,42,9.26,GL,1699064177
110,san luis de la loma,17.2706,-100.8939,26.04000000000002,86,9,1.96,MX,1699064178
111,hasaki,35.7333,140.8333,26.27000000000004,63,13,7.47,JP,1699064179
112,hithadhoo,-0.6,73.0833,27.140000000000043,82,100,7.09,MV,1699064180
113,nehe,48.4833,124.8333,-9.389999999999986,72,92,2.28,CN,1699064180
114,flin flon,54.7682,-101.865,-8.599999999999966,74,39,1.98,CA,1699064118
115,la passe,45.5549,-0.8967,11.100000000000023,92,100,7.73,FR,1699064182
116,port alfred,-33.5906,26.891,16.77000000000004,95,60,0.89,ZA,1699064183
117,asaita,11.5636,41.4394,25.129999999999995,69,14,3.21,ET,1699064184
118,chonchi,-42.6128,-73.8092,10.07000000000005,91,100,1.0,CL,1699064185
119,guangming,45.3333,122.7833,-0.2799999999999727,27,100,3.03,CN,1699064185
120,adrar,20.5022,-10.0711,23.060000000000002,28,0,4.64,MR,1699064186
121,mogadishu,2.0371,45.3438,26.29000000000002,81,100,2.35,SO,1699064187
122,champerico,14.3,-91.9167,26.600000000000023,78,100,1.61,GT,1699064188
123,la'ie,21.6477,-157.9253,29.660000000000025,70,6,2.68,US,1699064188
124,ribeira grande,38.5167,-28.7,17.100000000000023,67,98,1.79,PT,1699064189
125,hadibu,12.65,54.0333,25.920000000000016,80,95,3.34,YE,1699064190
126,pacasmayo,-7.4006,-79.5714,18.810000000000002,83,8,4.34,PE,1699064191
127,miri,4.4148,114.0089,30.08000000000004,70,40,0.51,MY,1699064191
128,douz,33.4663,9.0203,18.83000000000004,42,56,5.45,TN,1699064192
129,hawaiian paradise park,19.5933,-154.9731,27.730000000000018,68,0,3.6,US,1699064193
130,fort bragg,35.139,-79.006,7.75,77,0,0.0,US,1699064194
